"","country","gdp_per_capita","beer_servings","wine_servings","spirit_servings","total_litres_of_pure_alcohol","score","most_loved"
"1","Afghanistan",524.1628809,0,0,0,0,3.203,"none"
"2","Albania",5284.380184,89,54,132,4.9,4.719,"spirits"
"3","Algeria",4114.715061,25,14,0,0.7,5.211,"beer"
"4","Argentina",11683.94962,193,221,25,8.3,6.086,"wine"
"5","Armenia",4220.490277,21,11,179,3.8,4.559,"spirits"
"6","Australia",57395.91947,261,212,72,10.4,7.228,"beer"
"7","Austria",51525.04643,279,191,75,9.7,7.246,"beer"
"8","Azerbaijan",4739.84171,21,5,46,1.3,5.208,"spirits"
"9","Bahrain",23991.05668,42,7,63,2,6.199,"spirits"
"10","Bangladesh",1698.350394,0,0,0,0,4.456,"none"
"11","Belarus",6330.075246,142,42,373,14.4,5.323,"spirits"
"12","Belgium",47491.32326,295,212,84,10.5,6.923,"beer"
"13","Benin",1240.829464,34,13,4,1.1,4.883,"beer"
"14","Bhutan",3243.231126,23,0,0,0.4,5.082,"beer"
"15","Bolivia",3548.590153,167,8,41,3.8,5.779,"beer"
"16","Botswana",8279.601365,173,35,35,5.4,3.488,"beer"
"17","Brazil",9001.234249,245,16,145,7.2,6.3,"beer"
"18","Bulgaria",9423.558612,231,94,252,10.3,5.011,"spirits"
"19","Burkina Faso",820.1607938,25,7,7,4.3,4.587,"beer"
"20","Burundi",271.7520444,88,0,0,6.3,3.775,"beer"
"21","Cambodia",1512.12671,57,1,65,2.2,4.7,"spirits"
"22","Cameroon",1534.491274,147,4,1,5.8,5.044,"beer"
"23","Canada",46313.17137,240,100,122,8.2,7.278,"beer"
"24","Central African Republic",475.9536099,17,1,2,1.8,3.083,"beer"
"25","Chad",726.1498811,15,1,1,0.4,4.35,"beer"
"26","Chile",15924.79424,130,172,124,7.6,6.444,"wine"
"27","China",9976.676822,79,8,192,5,5.191,"spirits"
"28","Colombia",6718.585324,159,3,76,4.2,6.125,"beer"
"29","Comoros",1415.955313,1,1,3,0.1,3.973,"spirits"
"30","Costa Rica",12112.13442,149,11,87,4.4,7.167,"beer"
"31","Croatia",14920.19138,230,254,87,10.2,5.432,"wine"
"32","Cyprus",28689.70672,192,113,154,8.2,6.046,"beer"
"33","Czech Republic",23046.94913,361,134,170,11.8,6.852,"beer"
"34","Denmark",61390.69301,224,278,81,10.4,7.6,"wine"
"35","Dominican Republic",8050.63044,193,9,147,6.2,5.425,"beer"
"36","Ecuador",6295.935399,162,3,74,4.2,6.028,"beer"
"37","El Salvador",4067.659449,52,2,69,2.2,6.253,"spirits"
"38","Estonia",23258.46758,224,59,194,9.5,5.893,"beer"
"39","Ethiopia",771.5238139,20,0,3,0.7,4.286,"beer"
"40","Finland",50021.29106,263,97,133,10,7.769,"beer"
"41","France",41631.09074,127,370,151,11.8,6.592,"wine"
"42","Gabon",7956.627816,347,59,98,8.9,4.799,"beer"
"43","Georgia",4722.787783,52,149,100,5.4,4.519,"wine"
"44","Germany",47639.00344,346,175,117,11.3,6.985,"beer"
"45","Ghana",2202.312164,31,10,3,1.8,4.996,"beer"
"46","Greece",20324.30501,133,218,112,8.3,5.287,"wine"
"47","Guatemala",4472.892363,53,2,69,2.2,6.436,"spirits"
"48","Guinea",983.3094922,9,2,0,0.2,4.534,"beer"
"49","Haiti",868.3420248,1,1,326,5.9,3.597,"spirits"
"50","Honduras",2505.776752,69,2,98,3,5.86,"spirits"
"51","Hungary",16150.77276,234,185,215,11.3,5.758,"beer"
"52","Iceland",72968.70423,233,78,61,6.6,7.494,"beer"
"53","India",2005.863005,9,0,114,2.2,4.015,"spirits"
"54","Indonesia",3893.846425,5,0,1,0.1,5.192,"beer"
"55","Iraq",5834.166211,9,0,3,0.2,4.437,"beer"
"56","Ireland",78621.22796,313,165,118,11.4,7.021,"beer"
"57","Israel",41719.72544,63,9,69,2.5,7.139,"spirits"
"58","Italy",34520.08516,85,237,42,6.5,6.223,"wine"
"59","Jamaica",5354.236859,82,9,97,3.4,5.89,"spirits"
"60","Japan",39159.42356,77,16,202,7,5.886,"spirits"
"61","Jordan",4241.788782,6,1,21,0.5,4.906,"spirits"
"62","Kazakhstan",9812.601405,124,12,246,6.8,5.809,"spirits"
"63","Kenya",1707.986805,58,2,22,1.8,4.509,"beer"
"64","Kuwait",33994.38192,0,0,0,0,6.021,"none"
"65","Latvia",17805.28031,281,62,216,10.5,5.94,"beer"
"66","Lebanon",8024.803271,20,31,55,1.9,5.197,"spirits"
"67","Lesotho",1221.883763,82,0,29,2.8,3.802,"beer"
"68","Liberia",677.3221785,19,2,152,3.1,3.975,"spirits"
"69","Libya",7877.122251,0,0,0,0,5.525,"none"
"70","Lithuania",19080.61737,343,56,244,12.9,6.149,"beer"
"71","Luxembourg",116654.2611,236,271,133,11.4,7.09,"wine"
"72","Madagascar",527.5013261,26,4,15,0.8,3.933,"beer"
"73","Malawi",381.2589876,8,1,11,1.5,3.41,"spirits"
"74","Malaysia",11373.233,13,0,4,0.3,5.339,"beer"
"75","Mali",900.1101645,5,1,1,0.6,4.39,"beer"
"76","Malta",30133.46617,149,120,100,6.6,6.726,"beer"
"77","Mauritania",1600.876469,0,0,0,0,4.49,"none"
"78","Mauritius",11208.22737,98,18,31,2.6,5.888,"beer"
"79","Mexico",9673.443674,238,5,68,5.5,6.595,"beer"
"80","Moldova",4233.999556,109,18,226,6.3,5.529,"spirits"
"81","Mongolia",4134.987198,77,8,189,4.9,5.285,"spirits"
"82","Montenegro",8850.092733,31,128,114,4.9,5.523,"wine"
"83","Morocco",3222.200634,12,10,6,0.5,5.208,"beer"
"84","Mozambique",498.9572202,47,5,18,1.3,4.466,"beer"
"85","Myanmar",1418.177623,5,0,1,0.1,4.36,"beer"
"86","Namibia",5495.428836,376,1,3,6.8,4.639,"beer"
"87","Nepal",1038.651647,5,0,6,0.2,4.913,"spirits"
"88","Netherlands",53048.09621,251,190,88,9.4,7.488,"beer"
"89","New Zealand",42949.93058,203,175,79,9.3,7.307,"beer"
"90","Nicaragua",2020.547028,78,1,118,3.5,6.105,"spirits"
"91","Niger",571.5269922,3,1,2,0.1,4.628,"beer"
"92","Nigeria",2032.729709,42,2,5,9.1,5.265,"beer"
"93","Norway",81734.46557,169,129,71,6.7,7.554,"beer"
"94","Pakistan",1482.305667,0,0,0,0,5.653,"none"
"95","Panama",15592.57368,285,18,104,7.2,6.321,"beer"
"96","Paraguay",5805.675616,213,74,117,7.3,5.743,"beer"
"97","Peru",6941.235848,163,21,160,6.1,5.697,"beer"
"98","Philippines",3252.092324,71,1,186,4.6,5.631,"spirits"
"99","Poland",15460.64428,343,56,215,10.9,6.182,"beer"
"100","Portugal",23461.57186,194,339,67,11,5.693,"wine"
"101","Qatar",68793.78444,1,7,42,0.9,6.374,"spirits"
"102","Romania",12408.59649,297,167,122,10.4,6.07,"beer"
"103","Rwanda",782.6181409,43,0,2,6.8,3.334,"beer"
"104","Saudi Arabia",23338.96346,0,0,5,0.1,6.375,"spirits"
"105","Senegal",1465.591006,9,7,1,0.3,4.681,"beer"
"106","Serbia",7246.191986,283,127,131,9.6,5.603,"beer"
"107","Sierra Leone",533.9911843,25,2,3,6.7,4.374,"beer"
"108","Singapore",66188.7794,60,11,12,1.5,6.262,"beer"
"109","Slovenia",26054.5421,270,276,51,10.6,6.118,"wine"
"110","South Africa",6374.028196,225,81,76,8.2,4.722,"beer"
"111","Spain",30337.67913,284,112,157,10,6.354,"beer"
"112","Sri Lanka",4080.567125,16,0,104,2.2,4.366,"spirits"
"113","Sweden",54589.06039,152,186,60,7.2,7.343,"wine"
"114","Switzerland",82818.10816,185,280,100,10.2,7.48,"wine"
"115","Tajikistan",826.6215305,2,0,15,0.3,5.467,"spirits"
"116","Tanzania",1060.994615,36,1,6,5.7,3.231,"beer"
"117","Thailand",7295.475616,99,1,258,6.4,6.008,"spirits"
"118","Togo",678.9556381,36,19,2,1.3,4.085,"beer"
"119","Tunisia",3438.789089,51,20,3,1.3,4.461,"beer"
"120","Turkey",9370.176355,51,7,22,1.4,5.373,"beer"
"121","Turkmenistan",6966.635411,19,32,71,2.2,5.247,"spirits"
"122","Uganda",767.0977596,45,0,9,8.3,4.189,"beer"
"123","Ukraine",3096.817402,206,45,237,8.9,4.332,"spirits"
"124","United Arab Emirates",43839.35635,16,5,135,2.8,6.825,"spirits"
"125","United Kingdom",43043.22782,219,195,126,10.4,7.054,"beer"
"126","Uruguay",17277.97011,115,220,35,6.6,6.293,"wine"
"127","Uzbekistan",1529.082864,25,8,101,2.4,6.174,"spirits"
"128","Vietnam",2566.59695,111,1,2,2,5.175,"beer"
"129","Zambia",1556.334482,32,4,19,2.5,4.107,"beer"
"130","Zimbabwe",1683.740577,64,4,18,4.7,3.663,"beer"
